Pond1,Pond2,V1,V2,Resistance,X1,Y1,X2,Y2
NAT-7,31675,47,1348,0.070882399879419,338364.5,5028036,337589.486104905,5027075.89038359
NAT-9,31675,48,1348,0.0610910773992061,337702.9688,5027617,337589.486104905,5027075.89038359
NAT-11,31675,49,1348,0.052279307548434,338428.4688,5027688.5,337589.486104905,5027075.89038359
NAT-10,31683,44,1349,0.0622346407573549,337577.3438,5027708,337691.364116227,5027117.60595449
NAT-2,31683,45,1349,0.0497392816299933,337878.25,5027308.5,337691.364116227,5027117.60595449
NAT-6,31683,46,1349,0.0405762576093151,337405.6563,5026972,337691.364116227,5027117.60595449
NAT-7,31683,47,1349,0.0705897336694255,338364.5,5028036,337691.364116227,5027117.60595449
NAT-9,31683,48,1349,0.0577950944450441,337702.9688,5027617,337691.364116227,5027117.60595449
NAT-11,31683,49,1349,0.0518307744652892,338428.4688,5027688.5,337691.364116227,5027117.60595449
NAT-7,31689,47,1352,0.0644523196074493,338364.5,5028036,339888.486249965,5028276.42131488
NAT-11,31689,49,1352,0.0464509196441191,338428.4688,5027688.5,339888.486249965,5028276.42131488
NAT-10,31690,44,1353,0.0835109835091786,337577.3438,5027708,337882.621666667,5028324.55656667
NAT-2,31690,45,1353,0.0899004051322547,337878.25,5027308.5,337882.621666667,5028324.55656667
NAT-6,31690,46,1353,0.0851158289362019,337405.6563,5026972,337882.621666667,5028324.55656667
NAT-7,31690,47,1353,0.0790056173207614,338364.5,5028036,337882.621666667,5028324.55656667
NAT-9,31690,48,1353,0.0836027337768461,337702.9688,5027617,337882.621666667,5028324.55656667
NAT-11,31690,49,1353,0.0679633075199549,338428.4688,5027688.5,337882.621666667,5028324.55656667
NAT-10,31692,44,1354,0.0948853789386626,337577.3438,5027708,337613.662866667,5028328.05836667
NAT-2,31692,45,1354,0.103739570129229,337878.25,5027308.5,337613.662866667,5028328.05836667
NAT-6,31692,46,1354,0.0988262913866755,337405.6563,5026972,337613.662866667,5028328.05836667
