Pond,Group,CALMAC,LESCON,LESDIS,LESDRY,LESEUR,LESFOR,LESREC,LESUNI,ARGFUM,CHRCON,COERES,ENAANN,ENAANT,ENAASP,ENABOR,ENACIV,ENAEBR,ENAHAG,ISCVER,NAHIRE,AESCAN,AESCON,AESTUB,AESUMB,ANAJUN,ARICOR,DRONSPI,GOMFRA,GOMSPI,EPICYN,EPIPRI,CORSHU,DORLIB,EPICAN,CALELI,ERYSIM,LEUFRI,LEUINT,LEUPRO,LADJUL,LIBINC,LIBLUC,LIBPUL,LIBQUA,PLALYD,SYMCOS,SYMINT,SYMOBT,SYMSEM,SYMVIC,PERTEN,PACLON
SWF-1220,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0,4,1,4,3,1,0,0,0,2,0,6,0,0
SWF-1221,1,0,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,89,181,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,53,0,0
SWF-1227,1,0,11,1,0,1,0,2,0,0,0,0,11,0,0,0,32,3,0,87,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SWF-1228,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,37,0,48,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,1,1,0,3,19,2,8,0,9,17,1,2,0,0
SWF-1234,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,256,88,6,340,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,3,0,37,0,0,0,3,7,1,8,0,0,0,0,1,0,0
SWF-1235,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,103,3,40,122,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,7,9,0,8,0,0,1,0,0,0,0
SWF-1236,1,0,50,8,0,0,0,0,3,0,0,0,1,0,0,3,3,18,0,180,83,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,17,0,0,0,1,0,1,0,0,0,3,0,1,0,0
SWF-1253,1,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,6,4,0,99,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,10,0,0
SWF-1306,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,123,1,0,137,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,6,0,0,7,1,1,0,0
SWF-1310,1,0,0,4,0,0,0,0,0,12,0,0,0,0,0,12,30,51,6,117,156,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,12,0,2,0,4,7,1,0,3,0,0,0,0,0,0
TIM-2,1,0,0,2,0,2,0,0,0,29,2,0,8,0,0,25,8,116,8,148,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,4,6,2,1,3,0,0,0,0,0,0
SWF-1311,1,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,3,11,4,72,8,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,4,0,1,0,0,0,0,4,0,0
SWF-1312,1,1,5,10,0,0,0,1,0,0,0,5,0,0,0,1,0,22,5,24,79,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,2,1,0,0,9,0,5,0,0
SWF-1314,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,38,3,139,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,1,0,0,0,0,2,0,9,0,2
SWF-1316,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,15,1,58,24,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,0,4,8,1,6,0,0
