Point1,Point2,X1,Y1,X2,Y2
NAT-9,32202,,,336616.136769691,5029019.28781586
NAT-10,32202,,,336616.136769691,5029019.28781586
NAT-2,32218,,,337207.096321398,5029092.24870093
NAT-7,32218,,,337207.096321398,5029092.24870093
NAT-9,32218,,,337207.096321398,5029092.24870093
NAT-10,32218,,,337207.096321398,5029092.24870093
NAT-11,32218,,,337207.096321398,5029092.24870093
NAT-2,32226,,,337869.507481744,5028702.5371553
NAT-6,32226,,,337869.507481744,5028702.5371553
NAT-7,32226,,,337869.507481744,5028702.5371553
NAT-9,32226,,,337869.507481744,5028702.5371553
NAT-10,32226,,,337869.507481744,5028702.5371553
NAT-11,32226,,,337869.507481744,5028702.5371553
SWF-1220,32238,332384.92576937,5030790.98197647,333834.745970277,5031075.29093192
SWF-1220,32240,332384.92576937,5030790.98197647,334279.238486844,5031113.46337169
NAT-2,32274,,,336800.789110219,5027642.46601146
NAT-6,32274,,,336800.789110219,5027642.46601146
NAT-7,32274,,,336800.789110219,5027642.46601146
NAT-9,32274,,,336800.789110219,5027642.46601146
NAT-10,32274,,,336800.789110219,5027642.46601146
NAT-11,32274,,,336800.789110219,5027642.46601146
NAT-7,32275,,,339935.635834475,5027678.75414072
NAT-11,32275,,,339935.635834475,5027678.75414072
NAT-2,32277,,,339816.1921,5027679.9807
NAT-7,32277,,,339816.1921,5027679.9807
NAT-11,32277,,,339816.1921,5027679.9807
NAT-7,32278,,,339977.042716988,5027637.87884977
NAT-11,32278,,,339977.042716988,5027637.87884977
NAT-2,32280,,,337007.657647249,5027654.91523255
NAT-6,32280,,,337007.657647249,5027654.91523255
NAT-7,32280,,,337007.657647249,5027654.91523255
NAT-9,32280,,,337007.657647249,5027654.91523255
NAT-10,32280,,,337007.657647249,5027654.91523255
NAT-11,32280,,,337007.657647249,5027654.91523255
NAT-2,32283,,,336228.902430886,5027655.05498795
NAT-6,32283,,,336228.902430886,5027655.05498795
NAT-9,32283,,,336228.902430886,5027655.05498795
NAT-10,32283,,,336228.902430886,5027655.05498795
NAT-2,32284,,,337071.382387883,5027685.72966955
NAT-6,32284,,,337071.382387883,5027685.72966955
NAT-7,32284,,,337071.382387883,5027685.72966955
NAT-9,32284,,,337071.382387883,5027685.72966955
NAT-10,32284,,,337071.382387883,5027685.72966955
NAT-11,32284,,,337071.382387883,5027685.72966955
NAT-2,32285,,,339708.901838132,5027668.53431851
NAT-7,32285,,,339708.901838132,5027668.53431851
NAT-11,32285,,,339708.901838132,5027668.53431851
NAT-7,32288,,,340002.34258551,5027705.17845541
NAT-11,32288,,,340002.34258551,5027705.17845541
NAT-7,32296,,,339994.189133333,5027729.6562
NAT-11,32296,,,339994.189133333,5027729.6562
NAT-7,32297,,,339864.938658371,5027708.43977518
NAT-11,32297,,,339864.938658371,5027708.43977518
NAT-7,32302,,,337344.904885326,5029300.65996275
NAT-9,32302,,,337344.904885326,5029300.65996275
NAT-10,32302,,,337344.904885326,5029300.65996275
NAT-11,32302,,,337344.904885326,5029300.65996275
NAT-9,32305,,,336809.271778793,5029311.58665726
NAT-10,32305,,,336809.271778793,5029311.58665726
SWF-1220,32331,332384.92576937,5030790.98197647,333936.29759067,5031290.66789206
SWF-1220,32332,332384.92576937,5030790.98197647,333641.165882861,5031315.07918906
SWF-1220,32333,332384.92576937,5030790.98197647,334222.803245926,5031334.63838367
SWF-1220,32334,332384.92576937,5030790.98197647,333919.978713781,5031334.99287097
NAT-7,32370,,,339945.510500846,5027735.18550351
NAT-11,32370,,,339945.510500846,5027735.18550351
NAT-2,32372,,,336980.316324279,5027722.53443538
NAT-6,32372,,,336980.316324279,5027722.53443538
NAT-7,32372,,,336980.316324279,5027722.53443538
NAT-9,32372,,,336980.316324279,5027722.53443538
NAT-10,32372,,,336980.316324279,5027722.53443538
NAT-11,32372,,,336980.316324279,5027722.53443538
NAT-2,32374,,,339812.477253034,5027744.04047305
NAT-7,32374,,,339812.477253034,5027744.04047305
NAT-11,32374,,,339812.477253034,5027744.04047305
NAT-2,32379,,,336447.590181498,5027762.86008133
NAT-6,32379,,,336447.590181498,5027762.86008133
NAT-7,32379,,,336447.590181498,5027762.86008133
NAT-9,32379,,,336447.590181498,5027762.86008133
NAT-10,32379,,,336447.590181498,5027762.86008133
NAT-11,32379,,,336447.590181498,5027762.86008133
NAT-2,32382,,,336638.973876879,5027761.2855432
NAT-6,32382,,,336638.973876879,5027761.2855432
NAT-7,32382,,,336638.973876879,5027761.2855432
NAT-9,32382,,,336638.973876879,5027761.2855432
