OBJECTID,X,Y,geometry
28127,345839.2425,4999705.41,345839.242525492|4999705.4098111
28128,376285.9851,4999849.467,376285.985133333|4999849.46713333
28129,347379.88,4999804.273,347379.880018623|4999804.27309332
28130,379833.1954,4999785.273,379833.195376009|4999785.2731968
28131,376263.8399,4999904.501,376263.839907813|4999904.50137398
28132,361582.8993,5002082.13,361582.899296162|5002082.13005922
28133,360825.8117,5002249.458,360825.81174118|5002249.45803486
28134,341993.3564,5012401.035,341993.356404962|5012401.03520618
28135,332357.559,5012605.351,332357.559033333|5012605.35093333
28136,349224.2116,5012592.445,349224.211562216|5012592.44470969
28137,380234.4376,5012521.501,380234.437618636|5012521.50061685
28138,341951.5516,5012595.973,341951.551575944|5012595.97264339
28139,374044.0633,5012559.609,374044.063281385|5012559.60888773
28140,340587.024,5012599.219,340587.024026148|5012599.21929787
28141,352650.782,5012363.485,352650.782046305|5012363.48543773
28142,388906.7457,5015354.565,388906.74571292|5015354.56473759
28143,348956.0047,5015416.802,348956.004703966|5015416.8016343
28144,344025.3958,5015430.029,344025.395818074|5015430.02914806
28145,382367.5561,5015398.412,382367.556094992|5015398.41239981
28146,343960.5558,5015315.431,343960.55582963|5015315.43095693
28147,348223.5188,5015441.771,348223.518817191|5015441.77113797
28148,378954.2559,5015457.659,378954.255944799|5015457.6586466
28149,376193.6419,5014833.955,376193.641870454|5014833.95477578
28150,386915.4119,5014958.941,386915.411884454|5014958.94108032
28151,337111.3938,5012563.93,337111.393831427|5012563.92965946
28152,334646.249,5012283.734,334646.249013504|5012283.73359315
28153,359912.3066,4998950.078,359912.306607709|4998950.07828874
28154,379214.789,5000010.272,379214.788961515|5000010.27191399
28155,358570.7245,4999965.451,358570.72454622|4999965.45130491
28156,346140.9691,5000068.69,346140.969131229|5000068.68997173
28157,360804.2023,5000096.288,360804.202325827|5000096.28783318
28158,360696.5817,4999831.026,360696.581667964|4999831.02581527
28159,343545.9232,5000078.011,343545.923221627|5000078.01142037
28160,343330.1084,5000007.415,343330.108369975|5000007.41504865
28161,345284.1416,5000120.901,345284.141634086|5000120.90113929
28162,346385.2452,5000066.544,346385.245223827|5000066.54405863
28163,345189.8379,5000046.5,345189.837901542|5000046.49984047
28164,343404.0077,5000127.21,343404.007720864|5000127.20956189
28165,345546.9903,5000133.602,345546.990320512|5000133.60189758
28166,352112.8981,5000131.154,352112.898136773|5000131.15365962
28167,379349.4242,5000123.804,379349.424228389|5000123.80423541
28168,348940.6431,5000180.897,348940.643101699|5000180.89689809
28169,352746.2454,5005854.471,352746.245385843|5005854.470871
28170,379103.3478,4998326.056,379103.347835133|4998326.05591518
