OBJECTID,X,Y,geometry
26221,338667.312059769,5027524.30241666,338667.312059769|5027524.30241666
26223,338525.589266667,5027567.11013333,338525.589266667|5027567.11013333
26229,339528.971999111,5027601.89262519,339528.971999111|5027601.89262519
26231,339479.49153582,5027539.41616905,339479.49153582|5027539.41616905
26232,337700.879494891,5027616.75272508,337700.879494891|5027616.75272508
26260,387545.627693359,5037814.40724307,387545.627693359|5037814.40724307
26319,356399.817422372,4991520.8139249,356399.817422372|4991520.8139249
26320,354861.178800469,4991516.90798976,354861.178800469|4991516.90798976
26321,356372.825233333,4991536.6162,356372.825233333|4991536.6162
26330,354982.470084504,4991594.06781584,354982.470084504|4991594.06781584
26409,354936.698482229,4991725.90378197,354936.698482229|4991725.90378197
26410,354669.730566901,4991682.14186733,354669.730566901|4991682.14186733
26417,355724.230767658,4991719.28996531,355724.230767658|4991719.28996531
26423,355832.089317062,4991786.42069142,355832.089317062|4991786.42069142
26562,356155.197711147,4988235.25937326,356155.197711147|4988235.25937326
26569,356143.681703688,4988284.59499117,356143.681703688|4988284.59499117
26574,356137.433837169,4988341.61319103,356137.433837169|4988341.61319103
26576,356250.074263956,4988351.90546461,356250.074263956|4988351.90546461
26639,354094.635320003,4988478.86194446,354094.635320003|4988478.86194446
26645,353973.346591488,4988575.34976357,353973.346591488|4988575.34976357
26646,356112.926208651,4988554.05353221,356112.926208651|4988554.05353221
26650,355252.3228,4988686.43546667,355252.3228|4988686.43546667
26653,354041.897155615,4988682.39403474,354041.897155615|4988682.39403474
26657,355311.629794686,4988703.25158222,355311.629794686|4988703.25158222
26659,356379.136402312,4989461.218676,356379.136402312|4989461.218676
26734,356558.783606704,4988529.83972852,356558.783606704|4988529.83972852
26738,353993.434606648,4988824.93630536,353993.434606648|4988824.93630536
26740,355120.234186558,4988850.7475301,355120.234186558|4988850.7475301
26744,355389.192280868,4988880.54118391,355389.192280868|4988880.54118391
26745,353646.066237878,4988873.70793019,353646.066237878|4988873.70793019
